best,average
37.96666666666667,24.579333333333338
38.86666666666667,26.09422222222222
39.733333333333334,26.93644444444444
40.4,27.646000000000004
40.833333333333336,27.95333333333333
41.46666666666667,28.785999999999998
41.6,29.462444444444444
42.233333333333334,29.987333333333332
42.8,30.808222222222224
42.96666666666667,31.42400000000001
43.36666666666667,32.65977777777778
43.43333333333333,33.703777777777766
44.0,35.370222222222225
44.53333333333333,36.601555555555564
44.733333333333334,37.64422222222222
45.333333333333336,38.97511111111112
45.63333333333333,40.314222222222234
46.1,41.41377777777777
46.46666666666667,42.190666666666665
46.833333333333336,42.65955555555555
47.06666666666667,43.320888888888895
47.733333333333334,43.9288888888889
48.266666666666666,44.39977777777777
48.56666666666667,44.95355555555555
48.733333333333334,45.581111111111106
49.13333333333333,46.0708888888889
49.63333333333333,46.68644444444445
49.86666666666667,47.19755555555556
50.03333333333333,47.71111111111112
50.333333333333336,47.97822222222222
50.53333333333333,48.11266666666668
50.733333333333334,48.213333333333324
51.03333333333333,48.48022222222222
51.333333333333336,48.69755555555557
51.56666666666667,49.04488888888888
51.7,49.452444444444446
51.96666666666667,49.75022222222221
52.166666666666664,50.10466666666665
52.333333333333336,50.270444444444436
52.56666666666667,50.368444444444435
52.733333333333334,50.72200000000001
52.833333333333336,51.080000000000005
52.86666666666667,51.27066666666668
53.166666666666664,51.603777777777765
53.36666666666667,51.83644444444444
53.56666666666667,52.13333333333333
53.8,52.19755555555557
54.13333333333333,52.36977777777779
54.3,52.596222222222224
54.46666666666667,52.76822222222222
54.733333333333334,52.95444444444444
54.833333333333336,53.08022222222223
54.9,53.45533333333333
55.06666666666667,53.58777777777778
55.06666666666667,53.785999999999994
55.166666666666664,53.97511111111111
55.3,54.12844444444445
55.43333333333333,54.32222222222223
55.53333333333333,54.3228888888889
55.666666666666664,54.49977777777778
55.733333333333334,54.44600000000001
55.833333333333336,54.56088888888889
56.0,54.419111111111114
56.06666666666667,54.400666666666666
56.166666666666664,54.796888888888894
56.233333333333334,55.037777777777784
56.3,55.232888888888894
56.4,55.445111111111125
56.5,55.42644444444444
56.6,55.63244444444444
56.733333333333334,55.795333333333325
56.8,55.794000000000004
56.93333333333333,55.89911111111111
56.96666666666667,56.15822222222223
57.03333333333333,56.17600000000001
57.03333333333333,56.23444444444445
57.166666666666664,56.35822222222223
57.333333333333336,56.55600000000002
57.4,56.70111111111111
57.56666666666667,56.64911111111113
57.666666666666664,56.79177777777779
57.766666666666666,56.81066666666668
57.86666666666667,56.75933333333333
57.86666666666667,56.856222222222236
57.9,57.07177777777779
