best,average
21.8,13.746666666666666
22.0,15.216
22.4,16.47733333333333
23.6,17.28
24.0,18.008000000000003
24.6,18.848
25.0,19.66133333333333
26.0,20.919999999999998
26.0,21.613333333333337
26.6,22.19733333333333
26.6,23.186666666666667
26.8,23.722666666666665
26.8,24.333333333333336
26.8,25.328
27.0,25.567999999999998
27.0,25.8
27.2,26.024
27.2,26.080000000000002
27.2,26.464
27.4,26.597333333333335
27.4,26.805333333333333
27.4,27.026666666666664
27.4,27.149333333333335
27.4,27.224
27.4,27.381333333333334
27.4,27.389333333333333
27.4,27.391999999999996
27.4,27.365333333333336
27.4,27.357333333333333
27.4,27.351999999999997
27.4,27.370666666666672
27.4,27.365333333333336
27.4,27.389333333333333
27.4,27.375999999999998
27.4,27.394666666666666
27.4,27.394666666666666
27.4,27.378666666666664
27.4,27.4
27.4,27.370666666666665
27.4,27.389333333333333
27.4,27.373333333333335
27.4,27.373333333333335
27.4,27.394666666666666
27.4,27.394666666666666
27.4,27.386666666666667
27.4,27.389333333333333
27.4,27.383999999999997
27.4,27.389333333333333
27.4,27.373333333333335
27.4,27.370666666666665
27.4,27.392000000000003
27.4,27.373333333333335
27.8,27.394666666666666
27.8,27.392000000000003
27.8,27.496
27.8,27.594666666666665
27.8,27.76
27.8,27.736
27.8,27.78933333333333
27.8,27.781333333333333
27.8,27.797333333333334
28.0,27.773333333333333
28.0,27.781333333333333
28.0,27.818666666666665
28.0,27.872000000000003
28.0,27.951999999999998
28.0,27.978666666666662
28.0,27.991999999999997
28.4,27.968
28.4,28.01066666666667
28.4,28.02133333333333
28.4,28.082666666666665
28.4,28.237333333333332
28.4,28.344
28.4,28.368000000000002
28.4,28.386666666666667
28.4,28.386666666666667
28.4,28.397333333333336
28.4,28.357333333333333
28.4,28.4
28.4,28.359999999999996
28.4,28.352000000000004
28.4,28.381333333333334
28.4,28.383999999999997
28.4,28.394666666666666
28.4,28.384000000000004
28.4,28.392000000000003
28.4,28.4
28.4,28.389333333333333
28.4,28.368000000000002
28.4,28.384000000000004
28.4,28.354666666666667
28.4,28.4
28.4,28.357333333333333
28.4,28.383999999999997
28.6,28.373333333333335
28.6,28.397333333333336
28.6,28.373333333333335
28.6,28.458666666666666
28.6,28.517333333333333
28.6,28.562666666666665
28.6,28.57866666666667
28.6,28.584000000000003
28.6,28.568
28.6,28.589333333333332
28.6,28.6
28.6,28.584000000000003
28.6,28.562666666666665
28.6,28.557333333333332
28.6,28.594666666666665
28.6,28.573333333333334
28.6,28.573333333333334
28.6,28.576
28.6,28.576
28.6,28.6
28.6,28.568
28.6,28.592000000000002
28.6,28.56533333333333
28.6,28.57866666666667
28.6,28.53333333333333
28.6,28.592000000000002
28.6,28.565333333333335
28.6,28.6
28.6,28.581333333333333
28.6,28.597333333333335
28.6,28.578666666666663
28.6,28.586666666666666
28.6,28.589333333333332
28.6,28.568
28.6,28.576
28.6,28.56533333333333
28.8,28.594666666666665
28.8,28.565333333333335
28.8,28.613333333333333
29.0,28.68
29.0,28.776
29.0,28.808
29.0,28.879999999999995
29.0,28.94133333333333
29.0,28.965333333333337
29.0,28.976
29.0,28.981333333333332
29.0,28.976
29.2,28.991999999999997
29.2,28.997333333333337
29.2,29.018666666666668
29.2,29.101333333333333
29.2,29.176
29.2,29.157333333333334
29.2,29.181333333333335
29.2,29.192
29.2,29.18933333333333
29.2,29.192
29.2,29.170666666666666
29.2,29.160000000000004
29.2,29.173333333333336
29.2,29.160000000000004
29.2,29.186666666666667
29.2,29.2
29.2,29.18933333333333
29.2,29.176
29.2,29.17866666666667
29.2,29.160000000000004
29.2,29.184000000000005
29.2,29.194666666666667
29.2,29.197333333333336
29.2,29.173333333333336
29.2,29.170666666666666
29.2,29.173333333333336
29.2,29.184000000000005
29.2,29.16533333333333
29.2,29.176
29.2,29.181333333333335
29.2,29.176
29.2,29.181333333333335
29.2,29.157333333333334
29.2,29.17866666666667
29.2,29.144
29.2,29.192
29.2,29.162666666666667
29.2,29.192
29.2,29.181333333333335
29.2,29.18933333333333
29.2,29.170666666666666
29.2,29.186666666666667
29.2,29.184000000000005
29.2,29.173333333333336
29.2,29.2
29.2,29.18933333333333
29.2,29.2
29.2,29.176
29.2,29.168
29.2,29.16533333333333
29.2,29.176
29.2,29.157333333333334
29.2,29.149333333333335
29.2,29.17066666666667
29.2,29.18933333333333
29.2,29.197333333333336
29.2,29.181333333333335
