best,average
20.2,15.187999999999999
20.2,17.506
20.4,18.934
20.8,19.7
21.6,20.146000000000004
22.0,20.355999999999998
22.2,20.630000000000003
22.4,21.088
22.4,21.576
22.8,22.018
23.4,22.284000000000002
23.4,22.419999999999998
23.4,22.644
23.4,22.934
23.6,23.256
23.8,23.392
24.0,23.426
24.0,23.466
24.2,23.68
24.6,23.832
24.6,23.988000000000003
24.6,24.106
24.6,24.285999999999994
24.8,24.506
25.0,24.576
25.2,24.612000000000002
25.6,24.714000000000002
25.6,24.854
25.6,25.024
25.6,25.214
25.6,25.308
25.8,25.44
26.2,25.548
26.2,25.599999999999998
26.2,25.689999999999998
26.2,25.839999999999996
26.4,26.064
26.6,26.145999999999997
26.6,26.204
27.0,26.27
27.0,26.387999999999998
27.2,26.564
27.6,26.689999999999998
27.6,26.865999999999996
27.6,27.065999999999995
27.6,27.294
27.6,27.509999999999998
27.6,27.568
27.8,27.564
27.8,27.552000000000003
27.8,27.584000000000003
27.8,27.656
28.2,27.712
28.4,27.758
28.6,27.814
28.8,27.945999999999998
28.8,28.201999999999998
28.8,28.418
28.8,28.607999999999997
28.8,28.706
28.8,28.736
28.8,28.788
28.8,28.764
28.8,28.766
28.8,28.698
28.8,28.746
28.8,28.768
28.8,28.752
28.8,28.744
28.8,28.747999999999998
28.8,28.738
28.8,28.766
28.8,28.712
29.0,28.768
29.0,28.766000000000002
29.0,28.758000000000003
29.0,28.814
29.0,28.839999999999996
29.0,28.936
29.0,28.98
29.0,28.96
29.2,28.964
29.4,28.964
29.4,28.996
29.4,29.052
29.4,29.156
29.4,29.303999999999995
29.4,29.381999999999998
29.4,29.339999999999996
29.4,29.344
29.4,29.351999999999997
29.4,29.32
29.4,29.284
29.4,29.344000000000005
29.4,29.360000000000003
29.4,29.330000000000002
29.4,29.374000000000002
29.4,29.336000000000002
29.4,29.32
29.4,29.32
