best,average
20.8,15.23
21.4,17.86
21.4,19.560000000000002
21.6,20.496000000000002
23.0,20.898
23.0,21.148000000000003
23.0,21.630000000000003
23.4,22.116
23.8,22.741999999999997
24.2,23.049999999999997
24.2,23.212
24.6,23.508000000000003
24.8,23.887999999999998
25.2,24.156
25.6,24.376
26.2,24.566
26.4,24.84
26.4,25.198
26.4,25.657999999999998
27.4,26.056
27.4,26.351999999999997
27.4,26.503999999999998
27.6,26.669999999999998
27.6,27.04
27.6,27.332
27.8,27.389999999999997
28.0,27.474
28.0,27.566000000000003
28.0,27.615999999999996
28.2,27.708
28.2,27.844
28.2,27.926
28.4,27.968
28.4,28.070000000000004
28.4,28.174
28.4,28.306
28.4,28.35
28.4,28.357999999999997
28.6,28.330000000000002
28.6,28.334000000000003
28.6,28.398000000000003
28.8,28.398000000000003
28.8,28.511999999999993
28.8,28.595999999999997
28.8,28.634000000000004
28.8,28.738
28.8,28.75
28.8,28.776
29.0,28.762
29.0,28.756
29.0,28.794
29.0,28.845999999999997
29.0,28.884000000000004
29.4,28.938
29.4,28.986
29.4,28.99
29.4,29.048000000000002
29.4,29.209999999999997
29.4,29.32
29.6,29.366000000000003
29.6,29.387999999999998
29.6,29.339999999999996
29.6,29.432
29.6,29.509999999999998
29.6,29.544000000000004
30.0,29.57
30.0,29.55
30.0,29.627999999999997
30.0,29.744000000000007
30.0,29.942
30.0,29.942
30.0,29.939999999999998
30.0,29.986
30.0,29.909999999999997
30.0,29.916000000000004
30.0,29.927999999999997
30.0,29.95
30.2,29.962
30.2,29.924
30.2,29.982
30.2,30.01
30.2,30.086000000000002
30.2,30.151999999999997
30.2,30.183999999999997
30.2,30.163999999999998
30.2,30.151999999999997
30.2,30.155999999999995
30.2,30.137999999999998
30.2,30.154000000000003
30.2,30.157999999999998
30.2,30.153999999999996
30.2,30.144
30.2,30.189999999999998
30.2,30.151999999999997
30.2,30.125999999999998
30.2,30.162
30.2,30.125999999999998
30.2,30.15
30.2,30.162
30.2,30.144
