best,average
33.2,27.548000000000002
33.2,30.595999999999997
33.2,32.464
33.6,33.147999999999996
33.6,33.215999999999994
33.6,33.248000000000005
33.6,33.336
33.6,33.492000000000004
34.0,33.604
34.4,33.611999999999995
34.6,33.692
34.6,33.824
34.6,34.18
34.6,34.528000000000006
34.8,34.596000000000004
34.8,34.604
34.8,34.62
34.8,34.660000000000004
34.8,34.751999999999995
34.8,34.8
34.8,34.8
35.2,34.808
35.6,34.832
35.6,34.936
35.6,35.135999999999996
35.6,35.464000000000006
35.6,35.6
35.8,35.604
35.8,35.616
35.8,35.636
35.8,35.712
35.8,35.788
35.8,35.8
35.8,35.8
35.8,35.8
36.0,35.804
36.4,35.815999999999995
36.6,35.884
36.6,36.028000000000006
36.6,36.24
36.6,36.5
36.8,36.596000000000004
36.8,36.612
36.8,36.647999999999996
36.8,36.744
36.8,36.8
37.0,36.804
37.2,36.816
37.2,36.848
37.4,36.928000000000004
37.4,37.092
37.4,37.22
37.4,37.315999999999995
37.4,37.38
37.6,37.404
37.8,37.424
37.8,37.476
37.8,37.612
37.8,37.724000000000004
37.8,37.788
37.8,37.8
38.2,37.808
38.4,37.815999999999995
38.4,37.864
38.4,38.052
38.6,38.284000000000006
38.6,38.42
38.6,38.483999999999995
38.6,38.564
38.6,38.6
38.6,38.6
39.0,38.612
39.0,38.652
39.0,38.688
39.0,38.751999999999995
39.0,38.892
39.0,38.988
39.0,39.0
39.0,38.988
39.0,39.0
39.0,39.0
39.0,38.995999999999995
39.2,39.004000000000005
39.2,39.016
39.2,39.019999999999996
39.2,39.048
39.2,39.112
39.2,39.2
39.2,39.2
39.6,39.208
39.6,39.248000000000005
40.0,39.344
40.6,39.548
41.0,39.748000000000005
41.0,39.928
41.0,40.268
41.2,40.604
41.2,40.912
41.2,41.008
41.2,41.072
41.2,41.152
41.4,41.2
41.4,41.227999999999994
41.4,41.312
41.4,41.376
41.4,41.4
41.4,41.376
42.0,41.412
42.0,41.436
42.0,41.516000000000005
42.0,41.775999999999996
42.6,41.995999999999995
42.6,42.068
42.6,42.124
43.0,42.348
43.0,42.596
43.0,42.704
43.2,42.82
43.2,42.988
43.4,43.092
43.4,43.17999999999999
43.4,43.227999999999994
43.4,43.292
43.4,43.36
43.4,43.4
43.6,43.404
43.6,43.416
43.6,43.44
43.8,43.504000000000005
43.8,43.592
44.2,43.70399999999999
44.2,43.82
44.2,43.94799999999999
44.4,44.1
44.4,44.212
44.4,44.275999999999996
44.4,44.372
44.4,44.4
44.4,44.4
44.4,44.4
44.4,44.392
45.0,44.412
45.2,44.452000000000005
45.2,44.524
45.2,44.712
45.2,45.019999999999996
45.2,45.184
45.2,45.2
45.2,45.2
45.2,45.2
45.4,45.2
45.4,45.212
45.4,45.227999999999994
45.4,45.315999999999995
45.4,45.4
45.4,45.4
45.4,45.4
45.4,45.4
45.4,45.396
45.4,45.396
45.4,45.4
45.6,45.404
45.6,45.408
45.6,45.432
45.6,45.480000000000004
45.6,45.564
45.6,45.6
45.6,45.6
45.6,45.6
46.0,45.608
46.0,45.624
46.0,45.664
46.0,45.784000000000006
46.2,45.936
46.2,46.019999999999996
46.2,46.052
46.2,46.132
46.2,46.172
46.2,46.2
46.2,46.2
46.2,46.196
46.2,46.2
46.2,46.2
46.2,46.196
46.2,46.2
46.2,46.2
46.2,46.188
46.2,46.2
46.2,46.2
46.2,46.2
46.2,46.2
46.2,46.2
46.4,46.204
46.4,46.208
46.4,46.251999999999995
46.4,46.327999999999996
46.6,46.4
46.6,46.408
46.8,46.476000000000006
46.8,46.584
