best,average
19.4,14.851999999999999
19.4,17.242
19.4,18.686
19.4,19.278
19.4,19.4
19.4,19.4
19.4,19.4
19.4,19.4
19.4,19.4
19.4,19.4
19.4,19.4
19.4,19.4
19.4,19.4
19.4,19.4
19.4,19.4
19.4,19.4
19.4,19.4
19.4,19.4
19.4,19.4
19.4,19.4
19.4,19.4
19.4,19.4
19.4,19.4
19.4,19.4
19.4,19.4
19.4,19.4
19.6,19.402
19.6,19.412
19.6,19.436
19.6,19.503999999999998
19.6,19.586000000000002
19.6,19.6
19.6,19.6
19.6,19.6
19.6,19.6
20.0,19.604
20.0,19.619999999999997
20.0,19.672
20.0,19.792
20.0,19.976
20.0,20.0
20.0,20.0
20.0,20.0
20.2,20.002000000000002
20.2,20.008
20.2,20.016
20.2,20.048
20.2,20.116
20.2,20.194
20.2,20.2
20.2,20.2
20.2,20.2
20.2,20.2
20.2,20.2
20.2,20.2
20.2,20.2
20.2,20.2
20.2,20.2
20.2,20.2
20.2,20.2
20.2,20.2
20.2,20.2
20.2,20.2
20.2,20.2
20.2,20.2
20.2,20.2
20.2,20.2
20.2,20.2
20.2,20.2
20.2,20.2
20.2,20.2
20.2,20.2
20.4,20.202
20.4,20.206
20.4,20.228
20.4,20.274
20.4,20.36
20.4,20.4
20.4,20.4
20.4,20.4
20.4,20.4
20.4,20.4
20.4,20.4
20.4,20.4
20.4,20.4
20.4,20.4
20.4,20.4
20.4,20.4
20.4,20.4
20.4,20.4
20.4,20.4
20.4,20.4
20.4,20.4
20.4,20.4
20.4,20.4
20.4,20.4
20.4,20.4
20.4,20.4
20.4,20.4
20.4,20.4
